BFE,SI,FRI,SE,CBD,AE,AR,NAS,CPS,PD,9COH,9UYS,9MPS,9FF,9AIF,6COH,6UYS,6MPS,6FF,6AIF,WFA,Class
0.454993762,-0.202224995,-0.17293979,-0.254868803,-0.442691935,-0.193821864,-0.16095217,-0.148446081,-0.481881254,-0.37980014,-0.547495405,-0.516669191,0.224756914,0.04624317,0.608983557,-0.778250563,-0.61499755,0.056263934,0.361284661,0.393989979,-0.500485585,1
0.445206114,-0.511605483,-0.15017956,-0.221142209,-0.498517565,-0.190077842,-0.175518711,-0.055935706,-0.468240301,-0.332951192,-0.763906874,-0.738874024,0.027330116,0.072489765,0.499925814,-0.659671319,-0.538194505,0.111567373,0.296159097,0.327745137,-0.500485585,1
0.456035002,-0.600605349,-0.15017956,-0.244687189,-0.442691935,-0.192327651,-0.160654894,-0.084019213,-0.520757969,-0.37424179,-0.852550763,-0.820115476,0.083737772,0.205131319,0.650350288,-0.811500823,-0.635196978,0.136705299,0.432535279,0.504398049,-0.663861864,1
0.452703036,-0.442736539,-0.179442712,-0.299413361,-0.463464262,-0.1948364,-0.105956048,-0.060891619,-0.549233458,-0.382711657,-0.842154257,-0.812895571,-0.000873713,0.156769974,0.499925814,-0.842908299,-0.661275342,0.037829455,0.61378685,0.31670433,-0.636882295,1
0.018645861,-0.44010195,-0.25340848,-0.394823803,-0.304162503,-0.269203442,0.109624523,0.445248109,-0.507487459,-0.35418639,-0.512081649,-0.487968266,0.06842335,-0.167370058,0.341422361,-0.684244886,-0.542248248,-0.055985296,0.072271572,0.203255298,0.049836563,1
0.003296371,-0.527663071,-0.238883749,-0.403351806,-0.359258278,-0.269876616,0.17635526,0.52273375,-0.529957623,-0.357201452,-0.376420253,-0.376807353,-0.007170911,-0.197153783,0.173430585,-0.540185235,-0.443765618,-0.119618916,-0.214465429,0.236135848,0.183749338,1
0.030274263,-0.288644877,-0.195309556,-0.396245137,-0.263565615,-0.269668027,0.12456424,0.242309527,-0.553189487,-0.369793771,-0.230981459,-0.27034338,-0.007170911,-0.210996922,-0.036559136,-0.328122271,-0.304038124,0.031978827,-0.304088191,0.170374748,-0.20364119,1
0.02469263,-0.241314542,-0.400108265,-0.29675176,-0.249066727,-0.270673048,0.195942889,0.873264028,-0.531861874,-0.318005644,-0.786398769,-0.745110074,-0.221354651,1.175414485,0.13983223,-0.664559716,-0.531979119,-0.069086335,0.013639858,0.079953235,0.212444932,1
0.024227494,-0.574993406,-0.151735362,-0.248426405,-0.214269395,-0.261485638,0.009362421,0.581770428,-0.427508909,-0.313276135,-0.491915766,-0.433170633,0.32040422,-0.172928288,0.795000157,-0.717351762,-0.557399422,0.069410369,0.228622809,0.614262172,-0.356684362,1
0.02004127,-0.574993406,-0.158997728,-0.292487758,-0.315761613,-0.271298816,0.164403486,0.378831846,-0.433983363,-0.349338643,-0.715573743,-0.677881207,-0.082765173,0.026014408,0.366621127,-0.620715475,-0.499993308,-0.044755833,-0.098039597,0.186815023,-0.371032159,1
